molecule_chembl_id,std_smiles,standard_type,IC50_nM,pActividad,activo,scaffold,MW,QED
CHEMBL3806143,Brc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)c1,IC50,18.48,7.733298033115912,1,c1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)cc1,501.38,0.487
CHEMBL36967,Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,IC50,4.8,8.31875876262441,1,c1ccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)cc1,438.33,0.493
CHEMBL40734,Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,IC50,0.39,9.4089353929735,1,c1ccc(Nc2ncnc3cc4[nH]ccc4cc23)cc1,339.2,0.56
CHEMBL66031,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,IC50,0.008,11.096910013008056,1,c1ccc(Nc2ncnc3cc4[nH]cnc4cc23)cc1,340.18,0.579
CHEMBL39337,Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,IC50,0.4365,9.360015751958407,1,c1ccc(Nc2ncnc3cc4[nH]ncc4cc23)cc1,340.18,0.579
CHEMBL172652,Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1,IC50,4.1,8.387216143280263,1,c1ccc(Nc2ncnc3cc4[nH]nnc4cc23)cc1,341.17,0.584
CHEMBL447331,Brc1cccc(Nc2ncnc3cc4c(cc23)CN4)c1,IC50,0.4365,9.360015751958407,1,c1ccc(Nc2ncnc3cc4c(cc23)CN4)cc1,327.19,0.745
CHEMBL1198361,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,IC50,85.0,7.070581074285707,1,c1ccc(Nc2ncnc3cc4c(cc23)OCCCO4)cc1,372.22,0.727
CHEMBL2087359,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCSCCCO4)c1,IC50,8.0,8.096910013008056,1,c1ccc(Nc2ncnc3cc4c(cc23)OCCCSCCCO4)cc1,446.37,0.567
CHEMBL1198370,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,IC50,13.6,7.866461091629781,1,c1ccc(Nc2ncnc3cc4c(cc23)OCCO4)cc1,358.2,0.753
CHEMBL2087353,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)c1,IC50,55.0,7.259637310505756,1,c1ccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)cc1,402.25,0.701
CHEMBL2087355,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,IC50,5.0,8.301029995663981,1,c1ccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)cc1,446.3,0.639
CHEMBL2087356,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,IC50,5.0,8.301029995663981,1,c1ccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)cc1,462.3,0.615
CHEMBL2087357,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1,IC50,7.0,8.154901959985743,1,c1ccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)cc1,418.32,0.655
CHEMBL93051,Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1,IC50,15.0,7.823908740944318,1,c1ccc(Nc2ncnc3cc4c(cc23)OCO4)cc1,344.17,0.765
CHEMBL2087352,Brc1cccc(Nc2ncnc3cc4c(cc23)Oc2ccccc2O4)c1,IC50,120.0,6.920818753952375,1,c1ccc(Nc2ncnc3cc4c(cc23)Oc2ccccc2O4)cc1,406.24,0.388
CHEMBL1797418,Brc1cccc(Nc2ncnc3cc4c(ccn4CCCN4CCOCC4)cc23)c1,IC50,77.62,7.110026361596003,1,c1ccc(Nc2ncnc3cc4c(ccn4CCCN4CCOCC4)cc23)cc1,466.38,0.442
CHEMBL40130,Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,IC50,3.7,8.431798275933003,1,c1ccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)cc1,452.36,0.486
CHEMBL39355,Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,IC50,8.8,8.05551732784983,1,c1ccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)cc1,467.37,0.459
CHEMBL38199,Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,IC50,3.7,8.431798275933003,1,c1ccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)cc1,453.34,0.496
CHEMBL366580,Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1,IC50,0.34,9.468521082957745,1,c1ccc(Nc2ncnc3cc4c[nH]nc4cc23)cc1,340.18,0.579
CHEMBL63786,Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,IC50,0.003,11.522878745280336,1,c1ccc(Nc2ncnc3cc4ccccc4cc23)cc1,350.22,0.499
CHEMBL173498,Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1,IC50,1.7,8.769551078621726,1,c1ccc(Nc2ncnc3cc4nccnc4cc23)cc1,352.2,0.551
CHEMBL177053,Brc1cccc(Nc2ncnc3cc4ncsc4cc23)c1,IC50,44.0,7.356547323513812,1,c1ccc(Nc2ncnc3cc4ncsc4cc23)cc1,357.24,0.563
CHEMBL137364,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,IC50,64.0,7.193820026016112,1,c1ccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)cc1,456.35,0.409
CHEMBL424093,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,IC50,25.0,7.602059991327962,1,c1ccc(C/N=N/Nc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,433.31,0.284
CHEMBL138125,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,IC50,238.0,6.623423042943488,1,c1ccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)cc1,434.3,0.309
CHEMBL2425736,Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1,IC50,0.41,9.387216143280265,1,c1ccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)cc1,440.39,0.481
CHEMBL2070200,Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCCO5)cc23)c1,IC50,1140.0,5.943095148663527,0,c1ccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCCO5)cc23)cc1,491.39,0.342
CHEMBL2070198,Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCO5)cc23)c1,IC50,98.0,7.008773924307505,1,c1ccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCO5)cc23)cc1,477.36,0.373
CHEMBL2070192,Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCO5)cc23)c1,IC50,1020.0,5.991399828238082,0,c1ccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCO5)cc23)cc1,463.34,0.406
CHEMBL2070197,Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)c1,IC50,630.0,6.200659450546417,1,c1ccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)cc1,449.31,0.421
CHEMBL153170,Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1,IC50,29.0,7.537602002101043,1,c1ccc(Nc2ncnc3ccc4[nH]cnc4c23)cc1,340.18,0.579
CHEMBL5287505,Brc1cccc(Nc2ncnc3ccc4c(c23)OCCN4)c1,IC50,120.5,6.919012953089112,1,c1ccc(Nc2ncnc3ccc4c(c23)OCCN4)cc1,357.21,0.728
CHEMBL153525,Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,IC50,1.24,8.906578314837763,1,c1ccc(Nc2ncnc3ccc4cc[nH]c4c23)cc1,339.2,0.56
CHEMBL290096,Brc1cccc(Nc2ncnc3ccccc23)c1,IC50,27.0,7.568636235841011,1,c1ccc(Nc2ncnc3ccccc23)cc1,300.16,0.773
CHEMBL54805,Brc1cccc(Nc2ncnc3cccnc23)c1,IC50,34.0,7.468521082957744,1,c1ccc(Nc2ncnc3cccnc23)cc1,301.15,0.786
CHEMBL52665,Brc1cccc(Nc2ncnc3ccncc23)c1,IC50,35.0,7.455931955649724,1,c1ccc(Nc2ncnc3ccncc23)cc1,301.15,0.786
CHEMBL272895,Brc1cccc(Nc2ncnc3ccncc23)c1NCCCCN1CCOCC1,IC50,5.495,8.260032303240491,1,c1ccc(Nc2ncnc3ccncc23)c(NCCCCN2CCOCC2)c1,457.38,0.495
CHEMBL271334,Brc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCOCC1,IC50,1.905,8.720105019988361,1,c1ccc(Nc2ncnc3ccncc23)c(NCCCN2CCOCC2)c1,443.35,0.54
CHEMBL272865,Brc1cccc(Nc2ncnc3ccncc23)c1NCCCn1ccnc1,IC50,0.5129,9.289967300934244,1,c1ccc(Nc2ncnc3ccncc23)c(NCCCn2ccnc2)c1,424.31,0.433
CHEMBL405398,Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1,IC50,3.236,8.489991487059765,1,c1ccc(Nc2ncnc3ccncc23)c(NCCN2CCOCC2)c1,429.32,0.623
CHEMBL272187,Brc1cccc(Nc2ncnc3ccncc23)c1NCCc1c[nH]cn1,IC50,0.912,9.040005161671584,1,c1ccc(Nc2ncnc3ccncc23)c(NCCc2c[nH]cn2)c1,410.28,0.447
CHEMBL345294,Brc1cccc(Nc2ncnc3ccsc23)c1,IC50,11.0,7.958607314841775,1,c1ccc(Nc2ncnc3ccsc23)cc1,306.19,0.771
CHEMBL165574,Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,IC50,1.0,8.999999999999998,1,c1ccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)cc1,443.35,0.54
CHEMBL417420,Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,IC50,2.9,8.537602002101043,1,c1ccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)cc1,444.34,0.538
CHEMBL162981,Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)c1,IC50,1.7,8.769551078621726,1,c1ccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)cc1,424.31,0.433
CHEMBL51228,Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)nc23)c1,IC50,2.3,8.638272163982407,1,c1ccc(Nc2ncnc3cnc(NCCCn4ccnc4)nc23)cc1,425.29,0.437
CHEMBL162622,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,IC50,0.65,9.187086643357144,1,c1ccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)cc1,429.32,0.623
CHEMBL294475,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,IC50,0.81,9.09151498112135,1,c1ccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)cc1,430.31,0.617
CHEMBL162142,Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,IC50,0.78,9.107905397309516,1,c1ccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)cc1,410.28,0.447
CHEMBL53426,Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,IC50,0.25,9.60205999132796,1,c1ccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)cc1,411.27,0.447
CHEMBL162223,Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1,IC50,1.2,8.920818753952373,1,c1ccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)cc1,421.3,0.475
CHEMBL271328,Brc1cccc(Nc2ncnc3cnc(NCCn4ccnc4)nc23)c1,IC50,2.344,8.630042392653946,1,c1ccc(Nc2ncnc3cnc(NCCn4ccnc4)nc23)cc1,411.27,0.503
CHEMBL165508,Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1,IC50,1.5,8.823908740944319,1,c1ccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)cc1,407.28,0.506
CHEMBL51265,Brc1cccc(Nc2ncnc3cnccc23)c1,IC50,51.0,7.292429823902062,1,c1ccc(Nc2ncnc3cnccc23)cc1,301.15,0.786
CHEMBL54475,Brc1cccc(Nc2ncnc3ncccc23)c1,IC50,688.0,6.162411561764488,1,c1ccc(Nc2ncnc3ncccc23)cc1,301.15,0.786
CHEMBL4171764,Brc1cccc(Nc2ncnc3sc4c(c23)CCCC4)c1,IC50,2.61,8.583359492661717,1,c1ccc(Nc2ncnc3sc4c(c23)CCCC4)cc1,360.28,0.693
CHEMBL355982,Brc1cccc(Nc2ncnc3sccc23)c1,IC50,35.0,7.455931955649724,1,c1ccc(Nc2ncnc3sccc23)cc1,306.19,0.771
CHEMBL119758,Brc1cccc(Nc2nnnc3ccccc23)c1,IC50,1000.0,5.999999999999999,0,c1ccc(Nc2nnnc3ccccc23)cc1,301.15,0.786
CHEMBL117710,Brc1cccc(Oc2ncnc3ccccc23)c1,IC50,756.0,6.121478204498793,1,c1ccc(Oc2ncnc3ccccc23)cc1,301.14,0.712
CHEMBL1992634,Brc1cnc2[nH]cc(-c3ccccc3)c2c1,Ki,1995.26,5.700000503883016,0,c1ccc(-c2c[nH]c3ncccc23)cc1,273.13,0.713
CHEMBL4867893,C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)C1,IC50,88.3,7.05403929642243,1,c1ccc(Oc2ccc(-c3cn4ncc(C5CNC5)c4[nH]3)cc2)cc1,455.47,0.434
CHEMBL4863088,C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,IC50,33.8,7.471083299722344,1,c1ccc(Oc2ccc(-c3cn4ncc(C5CNC5)c4[nH]3)cc2)cc1,425.45,0.48
CHEMBL4852264,C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5)cc4)[nH]c23)C1,IC50,38.6,7.413412695328245,1,c1ccc(Oc2ccc(-c3cn4ncc(C5CCNC5)c4[nH]3)cc2)cc1,457.47,0.449
CHEMBL4857353,C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5F)cc4)[nH]c23)CC1,IC50,32.8,7.484126156288321,1,c1ccc(Oc2ccc(-c3cn4ncc(C5CCNCC5)c4[nH]3)cc2)cc1,489.48,0.416
CHEMBL4856592,C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)CC1,IC50,50.8,7.294136287716079,1,c1ccc(Oc2ccc(-c3cn4ncc(C5CCNCC5)c4[nH]3)cc2)cc1,483.53,0.407
CHEMBL4875332,C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,IC50,29.7,7.527243550682786,1,c1ccc(Oc2ccc(-c3cn4ncc(C5CCNC5)c4[nH]3)cc2)cc1,439.48,0.466
CHEMBL4871192,C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)CC1,IC50,30.8,7.511449283499555,1,c1ccc(Oc2ccc(-c3cn4ncc(C5CCNCC5)c4[nH]3)cc2)cc1,453.5,0.451
CHEMBL4869409,C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5F)cc4)[nH]c23)CC1,IC50,16.3,7.787812395596041,1,c1ccc(Oc2ccc(-c3cn4ncc(C5CCNCC5)c4[nH]3)cc2)cc1,471.49,0.433
CHEMBL4873984,C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5OC)cc4)[nH]c23)C1,IC50,104.0,6.982966660701219,1,c1ccc(Oc2ccc(-c3cn4ncc(C5CCNC5)c4[nH]3)cc2)cc1,469.5,0.421
CHEMBL5962946,C#CC(=O)N1CCCC(N(C)c2nc(-c3cnn(C)c3)c3c(c2F)CNC3=O)C1,IC50,1002.0,5.999132278468773,0,O=C1NCc2cc(NC3CCCNC3)nc(-c3cn[nH]c3)c21,396.43,0.781
CHEMBL5187762,C#CC(=O)N1CCN(C(=O)Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)[C@H](C)C1,IC50,0.32,9.494850021680092,1,O=C(Oc1ccc2ncnc(Nc3ccccc3)c2c1)N1CCNCC1,532.36,0.391
CHEMBL5567954,C#CC(=O)NCCn1cc(-c2ncnc3cc(OC)c(OC)cc23)c(-c2cccc(OC)c2)n1,IC50,10.0,8.0,1,c1ccc(-c2n[nH]cc2-c2ncnc3ccccc23)cc1,457.49,0.406
CHEMBL378144,C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,IC50,0.6,9.221848749616356,1,c1ccc(Nc2ncnc3cnccc23)cc1,368.19,0.695
CHEMBL202360,C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,1.6,8.795880017344075,1,c1ccc(Nc2ncnc3ccccc23)cc1,367.21,0.693
CHEMBL5400371,C#CCCC(=O)N1CCN(c2ccc(Nc3ncc(Cl)c(Oc4cccc(NC(=O)CCCCc5cc5=O)c4)n3)c(OC)c2)CC1,IC50,210.0,6.6777807052660805,1,O=C(CCCCc1cc1=O)Nc1cccc(Oc2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)c1,643.14,0.139
CHEMBL590558,C#CCCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,IC50,32.7,7.485452247339714,1,c1ccc(Nc2ncnc3ccccc23)cc1,413.88,0.357
CHEMBL591039,C#CCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,IC50,87.1,7.059981844992335,1,c1ccc(Nc2ncnc3ccccc23)cc1,399.85,0.408
CHEMBL592216,C#CCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,IC50,2.53,8.596879478824182,1,c1ccc(Nc2ncnc3ccccc23)cc1,385.83,0.46
CHEMBL592713,C#CCCCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,IC50,17.7,7.752026733638193,1,c1ccc(Nc2ncnc3ccccc23)cc1,367.84,0.479
CHEMBL4562542,C#CCCN1CCN(c2ccc(Nc3nc(OC4CCN(C(=O)C=C)CC4)c4c(-c5cncc(NC)n5)c[nH]c4n3)cc2)CC1,IC50,3000.0,5.522878745280337,0,c1cnc(-c2c[nH]c3nc(Nc4ccc(N5CCNCC5)cc4)nc(OC4CCNCC4)c23)cn1,606.74,0.181
CHEMBL3786812,C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,Ki,10.0,8.0,1,c1cc2c(OC[C@@H]3CCNC3)nc(Nc3cn[nH]c3)nc2[nH]1,469.93,0.366
CHEMBL5070579,C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3ccn(C)n3)n2)cc1NC(=O)C=C,IC50,8.58,8.066512712151294,1,c1ccc(Nc2nccc(Nc3cc[nH]n3)n2)cc1,489.58,0.261
CHEMBL5072451,C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,IC50,4.014,8.396422631848532,1,c1ccc(Nc2nccc(Nc3c[nH]c4ccccc34)n2)cc1,538.66,0.178
CHEMBL5094288,C#CCN1CCN(c2ccc(Nc3ncc4c(C)cc(=O)n(-c5cccc(NC(=O)C=C)c5)c4n3)c(OC)c2)CC1,IC50,8.04,8.094743951251548,1,O=c1ccc2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n1-c1ccccc1,549.64,0.253
CHEMBL3932578,C#CCN1CCOC(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)C1,IC50,50.0,7.30102999566398,1,c1ccc(Nc2ncnc3cc(OCC4CNCCO4)ccc23)cc1,473.36,0.51
CHEMBL3092304,C#CCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,IC50,232.0,6.6345120151091,1,c1ccc(Nc2ncnc3cc(O[C@H]4CCOC4)ccc23)cc1,455.88,0.484
